timestamp,reference_deg,measured_deg,error_deg,reference_counts
1778005435.1991858,0.0000,0.0220,0.0220,0
1778005445.883827,10.0000,7.8882,-2.1118,0
1778005456.631574,20.0000,16.7871,-3.2129,0
1778005462.674599,30.0000,26.5869,-3.4131,0
1778005467.2082481,40.0000,36.7163,-3.2837,0
1778005474.1812391,50.0000,47.2852,-2.7148,0
1778005480.70613,60.0000,58.4912,-1.5088,0
1778005486.8107631,70.0000,70.4004,0.4004,0
1778005492.669297,80.0000,81.7822,1.7822,0
1778005499.0665479,90.0000,92.0435,2.0435,0
1778005504.091115,100.0000,102.1509,2.1509,0
1778005508.202792,110.0000,113.0933,3.0933,0
1778005511.874156,120.0000,123.2666,3.2666,0
1778005516.285014,130.0000,133.2422,3.2422,0
1778005531.763885,140.0000,143.0640,3.0640,0
1778005537.8192399,150.0000,151.9629,1.9629,0
1778005545.682155,160.0000,161.5649,1.5649,0
1778005553.0170739,170.0000,170.9033,0.9033,0
1778005563.464524,180.0000,180.5933,0.5933,0
1778005574.9308732,190.0000,190.6787,0.6787,0
1778005586.05834,200.0000,200.6543,0.6543,0
1778005595.440435,210.0000,210.8276,0.8276,0
1778005601.110527,220.0000,220.6494,0.6494,0
1778005609.2200398,230.0000,230.1636,0.1636,0
1778005624.6449761,240.0000,240.5127,0.5127,0
1778005629.654298,250.0000,252.1362,2.1362,0
1778005636.0177631,260.0000,264.0015,4.0015,0
1778005641.473662,270.0000,274.3945,4.3945,0
1778005646.169399,280.0000,284.4800,4.4800,0
1778005648.929278,290.0000,295.2686,5.2686,0
1778005655.005976,300.0000,306.2988,6.2988,0
1778005659.756929,310.0000,315.9888,5.9888,0
1778005664.131882,320.0000,325.7007,5.7007,0
1778005673.175338,330.0000,334.7314,4.7314,0
1778005678.951383,340.0000,343.5205,3.5205,0
1778005685.9504461,350.0000,351.7822,1.7822,0
